name,url
அருண்ராஜா காமராஜ்,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%B0%E0%AF%81%E0%AE%A3%E0%AF%8D%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AE%BE_%E0%AE%95%E0%AE%BE%E0%AE%AE%E0%AE%B0%E0%AE%BE%E0%AE%9C%E0%AF%8D
அருள்தாஸ்,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%B0%E0%AF%81%E0%AE%B3%E0%AF%8D%E0%AE%A4%E0%AE%BE%E0%AE%B8%E0%AF%8D
அருள்நிதி,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%B0%E0%AF%81%E0%AE%B3%E0%AF%8D%E0%AE%A8%E0%AE%BF%E0%AE%A4%E0%AE%BF
அல்லு சிரிஷ்,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AF%81_%E0%AE%9A%E0%AE%BF%E0%AE%B0%E0%AE%BF%E0%AE%B7%E0%AF%8D
அலெக்ஸ் (நடிகர்),https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%B2%E0%AF%86%E0%AE%95%E0%AF%8D%E0%AE%B8%E0%AF%8D_(%E0%AE%A8%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AE%B0%E0%AF%8D)
அழகம்பெருமாள்,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%B4%E0%AE%95%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AF%86%E0%AE%B0%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B3%E0%AF%8D
அனந்த் நாக்,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%A9%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AF%8D_%E0%AE%A8%E0%AE%BE%E0%AE%95%E0%AF%8D
அனில் முரளி,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%A9%E0%AE%BF%E0%AE%B2%E0%AF%8D_%E0%AE%AE%E0%AF%81%E0%AE%B0%E0%AE%B3%E0%AE%BF
அனுஜா ஐயர்,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%A9%E0%AF%81%E0%AE%9C%E0%AE%BE_%E0%AE%90%E0%AE%AF%E0%AE%B0%E0%AF%8D
அஜ்மல் அமீர்,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%9C%E0%AF%8D%E0%AE%AE%E0%AE%B2%E0%AF%8D_%E0%AE%85%E0%AE%AE%E0%AF%80%E0%AE%B0%E0%AF%8D
அஜய் ரத்னம்,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%9C%E0%AE%AF%E0%AF%8D_%E0%AE%B0%E0%AE%A4%E0%AF%8D%E0%AE%A9%E0%AE%AE%E0%AF%8D
அஜயன்பாலா,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%9C%E0%AE%AF%E0%AE%A9%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%B2%E0%AE%BE
அஜித் குமார்,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%9C%E0%AE%BF%E0%AE%A4%E0%AF%8D_%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AE%BE%E0%AE%B0%E0%AF%8D
